  timeStamp (s)      POTpercent
        0.00010        20.13685
        0.00020        19.84360
        0.00030         3.81232
        0.00041         0.00000
        0.00051         0.00000
        0.00062         0.00000
        0.00072         3.61681
        0.00082         6.94037
        0.00093         8.01564
        0.00103        16.12903
        0.00113        20.91887
        0.00124        28.54350
        0.00134        35.28837
        0.00145        38.02542
        0.00155        43.49951
        0.00165        45.94330
        0.00176        49.75562
        0.00186        56.20723
        0.00197        60.21505
        0.00207        61.29032
        0.00217        61.48583
        0.00228        61.58358
        0.00238        61.58358
        0.00248        61.58358
        0.00259        61.48583
        0.00269        61.29032
        0.00280        61.29032
        0.00290        61.29032
        0.00300        59.23754
        0.00311        55.42522
        0.00321        49.85337
        0.00331        41.05572
        0.00342        32.84457
        0.00352        26.78397
        0.00363        25.12219
        0.00373        23.85142
        0.00383        23.75367
        0.00394        23.75367
        0.00404        23.75367
        0.00415        23.75367
        0.00425        23.75367
        0.00435        23.75367
        0.00446        23.75367
        0.00456        23.65591
        0.00466        20.43011
        0.00477        13.29423
        0.00487         8.01564
        0.00498         0.87977
        0.00508         0.00000
        0.00518         0.00000
        0.00529         0.00000
        0.00539         0.00000
        0.00549         0.00000
        0.00560         0.00000
        0.00570         0.00000
        0.00581         0.00000
        0.00591         0.00000
        0.00601         0.00000
        0.00612         0.00000
        0.00622         0.00000
        0.00632         0.00000
        0.00643         0.00000
        0.00653         0.09775
        0.00664         2.05279
        0.00674         5.96285
        0.00684        12.41447
        0.00695        20.13685
        0.00705        27.76149
        0.00715        32.55132
        0.00726        32.94233
        0.00736        32.94233
        0.00747        32.94233
        0.00757        32.94233
        0.00767        32.94233
        0.00778        33.04008
        0.00788        33.52884
        0.00799        39.10068
        0.00809        45.35679
        0.00819        51.80841
        0.00830        56.69599
        0.00840        61.09482
        0.00851        65.20039
        0.00861        70.18573
        0.00871        74.48680
        0.00882        76.83284
        0.00892        77.51711
        0.00902        77.51711
        0.00913        77.41935
        0.00923        77.41935
        0.00933        77.41935
        0.00944        77.61486
        0.00954        77.71261
        0.00965        77.71261
        0.00975        77.71261
        0.00985        77.71261
        0.00996        77.61486
        0.01006        72.33627
        0.01017        61.29032
        0.01027        58.65103
        0.01037        47.31183
        0.01048        46.23656
        0.01058        46.23656
        0.01069        46.23656
        0.01079        46.23656
        0.01089        46.33431
        0.01100        44.77028
        0.01110        29.81427
        0.01120        24.14467
        0.01131        20.33236
        0.01141        20.62561
        0.01152        27.56598
        0.01162        40.37146
        0.01172        53.47019
        0.01183        61.19257
        0.01193        63.73412
        0.01204        69.40371
        0.01214        76.44184
        0.01224        84.94624
        0.01235        91.30010
        0.01245        96.18768
        0.01256        98.92473
        0.01266        99.51124
        0.01276        99.60899
        0.01287        99.51124
        0.01297        97.26295
        0.01307        90.81134
        0.01318        81.13392
        0.01328        71.16325
        0.01339        63.24536
        0.01349        54.93646
        0.01359        44.67253
        0.01370        35.77713
        0.01380        30.79179
        0.01391        30.49853
        0.01401        30.40078
        0.01411        30.40078
        0.01422        30.40078
        0.01432        27.07722
        0.01442        25.12219
        0.01453        27.76149
        0.01463        42.22874
        0.01474        48.58260
        0.01484        48.97361
        0.01494        48.87586
        0.01505        48.87586
        0.01515        48.87586
        0.01525        55.91398
        0.01536        68.52395
        0.01546        71.94526
        0.01557        79.47214
        0.01567        86.70577
        0.01578        87.39003
        0.01588        87.39003
        0.01598        87.39003
        0.01609        87.39003
        0.01619        87.68328
        0.01629        96.57869
        0.01640       100.00000
        0.01650       100.00000
        0.01661       100.00000
        0.01671       100.00000
        0.01681        97.16520
        0.01692        88.66080
        0.01702        77.90811
        0.01713        70.18573
        0.01723        70.18573
        0.01733        70.08798
        0.01744        63.34311
        0.01754        52.98143
        0.01765        41.44673
        0.01775        35.58162
        0.01785        33.72434
        0.01796        35.48387
        0.01806        46.43206
        0.01816        62.07234
        0.01827        70.67449
        0.01837        71.06549
        0.01848        71.06549
        0.01858        71.06549
        0.01868        71.74976
        0.01879        82.20919
        0.01889        94.52590
        0.01900        99.80450
        0.01910       100.00000
        0.01920       100.00000
        0.01931        99.31574
        0.01941        86.41251
        0.01951        69.99022
        0.01962        57.67351
        0.01972        56.40274
        0.01983        56.40274
        0.01993        56.20723
        0.02003        46.43206
        0.02014        32.74682
        0.02024        15.54252
        0.02034         5.86510
        0.02045         2.34604
        0.02055         0.09775
        0.02066         0.00000
        0.02076         0.00000
